Id,Observation Date,Family,Genus,Species,Names of Collectors,Diameter at 1.3m,Max Diameter,Max Diameter POM,Condition Codes,Location Codes,Sampling Period,Comments,Data Level,Sampling Unit Name,Latitude,Longitude,Method,Subplot Number,1ha Plot X Coordinate,1ha Plot Y Coordinate,Tree Number,Site Name,1ha Plot Number,Protocol Version,Data Set Creator Institution,Data Set Creator Scientist,Data Set Contact
164150,12/15/2003,Dilleniaceae,Pinzona,coriacea,Marcos Molina,11.4,,,H,,2003.01,,Level 0,VL-VB-1-181,10.41642861,-84.01939043,Derived,5,3.8,88.16,181,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164151,12/18/2003,Sapindaceae,Paullinia,clavigera,Marcos Molina,13.5,,,N,,2003.01,,Level 0,VL-VB-1-326,10.41625179,-84.02027145,Derived,20,71.12,16.35,326,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164152,12/18/2003,Dilleniaceae,Pinzona,coriacea,Marcos Molina,15.9,,,H,,2003.01,,Level 0,VL-VB-1-337,10.41619416,-84.02041601,Derived,21,84.86,6.23,337,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164153,12/18/2003,Dilleniaceae,Pinzona,coriacea,Marcos Molina,12,,,D,,2003.01,,Level 0,VL-VB-1-342,10.41612769,-84.02050404,Derived,21,96.18,1.89,342,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164154,12/18/2003,Dilleniaceae,Pinzona,coriacea,Marcos Molina,13.4,,,I,,2003.01,,Level 0,VL-VB-1-355,10.41620368,-84.02036778,Derived,21,81.19,10.17,355,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164155,12/18/2003,Sapindaceae,Paullinia,granatensis,Marcos Molina,10.8,,,,,2003.01,,Level 0,VL-VB-1-388,10.41594291,-84.02009358,Derived,23,89.96,50.87,388,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164156,10/8/2004,Dilleniaceae,Pinzona,coriacea,Marcos Molina,11.4,,,H,,2004.01,,Level 0,VL-VB-1-181,10.41642861,-84.01939043,Derived,5,3.8,88.16,181,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164157,10/7/2004,Sapindaceae,Paullinia,clavigera,Marcos Molina,13.7,,,N,,2004.01,,Level 0,VL-VB-1-326,10.41625179,-84.02027145,Derived,20,71.12,16.35,326,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164158,10/7/2004,Dilleniaceae,Pinzona,coriacea,Marcos Molina,16,,,H,,2004.01,,Level 0,VL-VB-1-337,10.41619416,-84.02041601,Derived,21,84.86,6.23,337,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164159,10/7/2004,Dilleniaceae,Pinzona,coriacea,Marcos Molina,12,,,D,,2004.01,,Level 0,VL-VB-1-342,10.41612769,-84.02050404,Derived,21,96.18,1.89,342,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164160,10/7/2004,Dilleniaceae,Pinzona,coriacea,Marcos Molina,13.4,,,I,,2004.01,,Level 0,VL-VB-1-355,10.41620368,-84.02036778,Derived,21,81.19,10.17,355,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164161,10/7/2004,Sapindaceae,Paullinia,granatensis,Marcos Molina,10.9,,,,,2004.01,,Level 0,VL-VB-1-388,10.41594291,-84.02009358,Derived,23,89.96,50.87,388,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164162,9/24/2004,Fabaceae,Bauhinia,guianensis,Marcos Molina,19.8,,,,,2004.01,,Level 0,VL-VB-2-106,10.40247493,-84.03731062,Derived,7,35.78,72.1,106,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164163,9/24/2004,Dilleniaceae,Pinzona,coriacea,Marcos Molina,13.4,,,,,2004.01,,Level 0,VL-VB-2-170,10.40277089,-84.03769689,Derived,11,44.13,19.27,170,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164164,9/24/2004,Dilleniaceae,Pinzona,coriacea,Marcos Molina,16.5,,,,,2004.01,,Level 0,VL-VB-2-247,10.40226793,-84.03723188,Derived,15,45.2,94.68,247,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164165,9/24/2004,Dilleniaceae,Pinzona,coriacea,Marcos Molina,16.4,,,,,2004.01,,Level 0,VL-VB-2-255,10.40209085,-84.03741317,Derived,16,73.08,95.33,255,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164166,9/30/2005,Dilleniaceae,Pinzona,coriacea,Marcos Molina,11.5,,,H,,2005.01,,Level 0,VL-VB-1-181,10.41642861,-84.01939043,Derived,5,3.8,88.16,181,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164167,9/29/2005,Sapindaceae,Paullinia,clavigera,Marcos Molina,14.1,,,N,,2005.01,,Level 0,VL-VB-1-326,10.41625179,-84.02027145,Derived,20,71.12,16.35,326,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164168,9/29/2005,Dilleniaceae,Pinzona,coriacea,Marcos Molina,16.1,,,H,,2005.01,,Level 0,VL-VB-1-337,10.41619416,-84.02041601,Derived,21,84.86,6.23,337,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164169,9/29/2005,Dilleniaceae,Pinzona,coriacea,Marcos Molina,12.3,,,D,,2005.01,,Level 0,VL-VB-1-342,10.41612769,-84.02050404,Derived,21,96.18,1.89,342,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164170,9/29/2005,Dilleniaceae,Pinzona,coriacea,Marcos Molina,13.9,,,I,,2005.01,,Level 0,VL-VB-1-355,10.41620368,-84.02036778,Derived,21,81.19,10.17,355,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164171,9/29/2005,Sapindaceae,Paullinia,granatensis,Marcos Molina,11.4,,,,,2005.01,,Level 0,VL-VB-1-388,10.41594291,-84.02009358,Derived,23,89.96,50.87,388,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164172,10/6/2005,Fabaceae,Bauhinia,guianensis,Marcos Molina,,,,K,,2005.01,broken in 3 pieces,Level 0,VL-VB-2-106,10.40247493,-84.03731062,Derived,7,35.78,72.1,106,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164173,10/6/2005,Dilleniaceae,Pinzona,coriacea,Marcos Molina,13.5,,,,,2005.01,,Level 0,VL-VB-2-170,10.40277089,-84.03769689,Derived,11,44.13,19.27,170,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164174,10/10/2005,Dilleniaceae,Pinzona,coriacea,Marcos Molina,16.8,,,,,2005.01,,Level 0,VL-VB-2-247,10.40226793,-84.03723188,Derived,15,45.2,94.68,247,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164175,10/10/2005,Dilleniaceae,Pinzona,coriacea,Marcos Molina,17.4,,,,,2005.01,,Level 0,VL-VB-2-255,10.40209085,-84.03741317,Derived,16,73.08,95.33,255,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164176,10/10/2005,Dilleniaceae,Pinzona,coriacea,Marcos Molina,10.5,,,,,2005.01,recruit05,Level 0,VL-VB-2-432,10.40267195,-84.03721704,Derived,4,13.38,63.26,432,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164177,2/20/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,11.5,,,H,,2006.01,,Level 0,VL-VB-1-181,10.41642861,-84.01939043,Derived,5,3.8,88.16,181,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164178,2/20/2006,Sapindaceae,Paullinia,clavigera,Marcos Molina,14.3,,,N,,2006.01,,Level 0,VL-VB-1-326,10.41625179,-84.02027145,Derived,20,71.12,16.35,326,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164179,2/20/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,16.3,,,H,,2006.01,,Level 0,VL-VB-1-337,10.41619416,-84.02041601,Derived,21,84.86,6.23,337,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164180,2/20/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,12.3,,,D,,2006.01,,Level 0,VL-VB-1-342,10.41612769,-84.02050404,Derived,21,96.18,1.89,342,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164181,2/20/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,14,,,I,,2006.01,,Level 0,VL-VB-1-355,10.41620368,-84.02036778,Derived,21,81.19,10.17,355,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164182,2/20/2006,Sapindaceae,Paullinia,granatensis,Marcos Molina,11.4,,,,,2006.01,,Level 0,VL-VB-1-388,10.41594291,-84.02009358,Derived,23,89.96,50.87,388,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164183,2/20/2006,Unknown,Unknown,unknown,Marcos Molina,11.7,,,,,2006.01,recruit06,Level 0,VL-VB-1-445,10.41636367,-84.02026049,Derived,11,59.96,10.87,445,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164184,2/20/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,10.8,,,,,2006.01,recruit06,Level 0,VL-VB-1-447,10.4158445,-84.01972446,Derived,16,77.99,90.98,447,Volcán Barva,VG-VB-1,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164185,1/25/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,13.7,,,,,2006.01,,Level 0,VL-VB-2-170,10.40277089,-84.03769689,Derived,11,44.13,19.27,170,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164186,1/25/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,16.9,,,,,2006.01,,Level 0,VL-VB-2-247,10.40226793,-84.03723188,Derived,15,45.2,94.68,247,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164187,1/23/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,17.4,,,,,2006.01,,Level 0,VL-VB-2-255,10.40209085,-84.03741317,Derived,16,73.08,95.33,255,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164188,1/25/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,10.6,,,,,2006.01,recruit05,Level 0,VL-VB-2-432,10.40267195,-84.03721704,Derived,4,13.38,63.26,432,Volcán Barva,VG-VB-2,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
